row,brand,countryCode,language,marketScope,intent,routeKind,title,description,trackingUrl,trackingHost,trackingToken,classification,source,productionEligible,routeSetupId
1,Betsafe Baltics,LV,lv,COUNTRY,Homepage,LOBBY,Betsafe Baltics LV | Homepage,Betsafe Baltics LV | Homepage,https://record.betssongroupaffiliates.com/_p1EHTRI5UENm9wicw_ZaAGNd7ZgqdRLk/1/,record.betssongroupaffiliates.com,_p1EHTRI5UENm9wicw_ZaAGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
2,Rizk,RS,sr,COUNTRY,Jackpot Slots,CONTENT,Rizk RS | Jackpot Slots,Rizk RS | Jackpot Slots,https://record.rizk.rs/_p1EHTRI5UEOMojk0FzNc9WNd7ZgqdRLk/1/,record.rizk.rs,_p1EHTRI5UEOMojk0FzNc9WNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
3,Rizk,RS,sr,COUNTRY,Registration Page,REGISTRATION,Rizk RS | Registration Page,Rizk RS | Registration Page,https://record.rizk.rs/_p1EHTRI5UEOmRLjvSQNI9GNd7ZgqdRLk/1/,record.rizk.rs,_p1EHTRI5UEOmRLjvSQNI9GNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
4,Rizk,RS,sr,COUNTRY,Bonus Terms,TERMS,Rizk RS | Bonus Terms,Rizk RS | Bonus Terms,https://record.rizk.rs/_p1EHTRI5UEOxXf1ZbYn77GNd7ZgqdRLk/1/,record.rizk.rs,_p1EHTRI5UEOxXf1ZbYn77GNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
5,Rizk,RS,sr,COUNTRY,Slots Lobby,LOBBY,Rizk RS | Slots Lobby,Rizk RS | Slots Lobby,https://record.rizk.rs/_p1EHTRI5UEO9DxWNe3-4eGNd7ZgqdRLk/1/,record.rizk.rs,_p1EHTRI5UEO9DxWNe3-4eGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
6,Rizk,RS,sr,COUNTRY,Wheel Of Rizk,CONTENT,Rizk RS | Wheel Of Rizk,Rizk RS | Wheel Of Rizk,https://record.rizk.rs/_p1EHTRI5UEMg1pR_crgUMGNd7ZgqdRLk/1/,record.rizk.rs,_p1EHTRI5UEMg1pR_crgUMGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
7,Rizk,RS,sr,COUNTRY,Terms & Conditions,TERMS,Rizk RS | Terms & Conditions,Rizk RS | Terms & Conditions,https://record.rizk.rs/_p1EHTRI5UEO-AVgNr5emHmNd7ZgqdRLk/1/,record.rizk.rs,_p1EHTRI5UEO-AVgNr5emHmNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
8,Rizk,RS,sr,COUNTRY,Welcome Offer,WELCOME_OFFER,Rizk RS | Welcome Offer,Rizk RS | Welcome Offer,https://record.rizk.rs/_p1EHTRI5UEOsD4riPBaKKGNd7ZgqdRLk/1/,record.rizk.rs,_p1EHTRI5UEOsD4riPBaKKGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
9,Rizk,RS,sr,COUNTRY,Promotions Page,PROMOTIONS,Rizk RS | Promotions Page,Rizk RS | Promotions Page,https://record.rizk.rs/_p1EHTRI5UEOBIbT_nCszwGNd7ZgqdRLk/1/,record.rizk.rs,_p1EHTRI5UEOBIbT_nCszwGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
10,StarCasino,IT,it,COUNTRY,Bonus Benvenuto Casino,WELCOME_OFFER,StarCasino IT | Bonus Benvenuto Casino,StarCasino IT | Bonus Benvenuto Casino,https://record.starcasino.it/_p1EHTRI5UEPPSO5RLscKcGNd7ZgqdRLk/1/,record.starcasino.it,_p1EHTRI5UEPPSO5RLscKcGNd7ZgqdRLk,DETECTED,partner-direct-links.csv,False,
