"Account Number","Account Name","Licence Number","Licence Type","Activity","Relevant Games","Issue Date","Expiry Date","Street","City","County","Postcode","Country","Trading Name","Full Name","Officer Role"
"A-0890","Platinum Gaming Limited","GRAI-0890-RB-26-0001","Business to Consumer","Remote Betting","","2026-09-11","2029-09-10","","","","","","32Red, Unibet","",""
"A-1185","Dragonbet Ltd","GRAI-1185-RB-26-0001","Business to Consumer","Remote Betting","","2026-09-04","2029-09-03","","","","","","DragonBet","",""
"A-1003","PPB Counterparty Services Limited","GRAI-1003-RB-26-0001","Business to Consumer","Remote Betting","","2026-08-11","2029-08-10","","","","","","Betfair, Paddy Power","",""
"A-0735","BM Solutions Ltd","GRAI-0735-RB-26-0001","Business to Consumer","Remote Betting","","2026-07-01","2029-06-30","","","","","","Casinoin, Betmaster","",""
"A-0483","GB Sports Advisors Ltd","GRAI-0483-RB-26-0001","Business to Consumer","Remote Betting","","2026-07-01","2029-06-30","","","","","","Geoff Banks Online","",""
"A-0397","Logflex MT Limited","GRAI-0397-RB-26-0001","Business to Consumer","Remote Betting","","2026-07-01","2029-06-30","","","","","","Novibet","",""
"A-0622","LC International Limited","GRAI-0622-RB-26-0001","Business to Consumer","Remote Betting","","2026-07-01","2029-06-30","","","","","","Ladbrokes","",""
"A-0691","Smarkets Malta Limited","GRAI-0691-RBI-26-0001","Business to Consumer","Remote Betting Intermediary","","2026-08-12","2029-08-11","","","","","","SBK, Smarkets","",""
"A-0796","TDCO Limited","GRAI-0796-RB-26-0001","Business to Consumer","Remote Betting","","2026-08-26","2029-08-25","","","","","","Tote","",""
"A-0524","Betway Limited","GRAI-0524-RB-26-0001","Business to Consumer","Remote Betting","","2026-07-01","2029-06-30","","","","","","Betway","",""
"A-1193","FITZDARES LIMITED","GRAI-1193-RB-26-0001","Business to Consumer","Remote Betting","","2026-09-01","2029-08-31","","","","","","FITZDARES","",""
"A-0678","Goodwin Racing Limited","GRAI-0678-RB-26-0001","Business to Consumer","Remote Betting","","2026-07-01","2029-06-30","","","","","","Goodwin Racing, Betgoodwin","",""
